UF;Cidade;CÓDIGO IBGE;POPULAÇÃO ESTIMADA (2016);Valor Previsto;PONTOS ATENDIDOS;STATUS IMPLANTAÇÃO
AC;Tarauacá;1200609;39427;484547,53;8;Sem Previsão
AL;Delmiro Gouveia;2702405;52306;1169381,7;43;Implantada
AL;Estrela de Alagoas;2702553;18373;527206,83;39;Implantada
AM;Autazes;1300300;37752;1171151,92;51;Sem Previsão
AM;Benjamin Constant;1300607;40417;844586,48;12;Sem Previsão
AM;Careiro;1301100;36922;748797,08;17;Sem Previsão
AM;Coari;1301209;83929;800654,75;27;Implantada
AM;Codajás;1301308;27303;757706,74;36;Sem Previsão
AM;Iranduba;1301852;46703;800655,02;30;Sem Previsão
AM;Manacapuru;1302504;95330;877796,87;31;Implantada
AM;Manaquiri;1302553;29327;622382,15;21;Implantada
AM;Maraã;1302801;18477;427516,78;21;Sem Previsão
AP;Amapá;1600105;8690;459240,58;15;Sem Previsão
AP;Laranjal do Jari;1600279;46639;896578,06;17;Sem Previsão
AP;Mazagão;1600402;19981;594149,7;20;Sem Previsão
AP;Porto Grande;1600535;20143;800403,5;22;Sem Previsão
AP;Serra do Navio;1600055;5025;575773,15;21;Implantada
AP;Vitória do Jari;1600808;14680;687756,22;7;Sem Previsão
BA;Abaré;2900207;19939;490227,43;23;Sem Previsão
BA;Anagé;2901205;19824;510328,56;15;Sem Previsão
BA;Anguera;2901502;11402;441915,04;20;em implantação
BA;Baianópolis;2902500;14262;499499,12;24;Implantada
BA;Barra;2902708;54563;1210503,86;46;Implantada
BA;Barra do Choça;2902906;34421;747990,32;23;em implantação
BA;Boa Vista do Tupim;2903805;19516;548582,05;28;Sem Previsão
BA;Bom Jesus da Serra;2903953;10515;413597,59;16;em implantação
BA;Brejolândia;2904407;10768;437370,14;17;Implantada
BA;Buritirama;2904753;21671;486364,54;20;Implantada
BA;Coronel João Sá;2909208;16951;623361,08;27;Implantada
BA;Cotegipe;2909406;14409;687927,7;36;Implantada
BA;Curaçá;2909901;35320;544494,05;13;Sem Previsão
BA;Encruzilhada;2910404;19837;401380,67;17;Sem Previsão
BA;Guanambi;2911709;86320;524280,18;15;Implantada
BA;Guaratinga;2911808;22251;464626,92;17;Sem Previsão
BA;Itaberaba;2914703;66592;524141,38;16;Implantada
BA;Itabuna;2914802;220386;614465,85;17;Implantada
BA;Jeremoabo;2918100;41387;703108,89;15;Implantada
BA;Juazeiro;2918407;220253;321126,76;9;Implantada
BA;Lauro de Freitas;2919207;194641;701369,26;21;Implantada
BA;Nilo Peçanha;2922607;14279;458506,09;16;Implantada
BA;Pedro Alexandre;2924207;18173;584854,35;20;Sem Previsão
BA;Piatã;2924306;18366;480760,3;25;Sem Previsão
BA;Piraí do Norte;2924678;10386;424651,98;15;Implantada
BA;Presidente Tancredo Neves;2925758;27803;553392,15;26;em implantação
BA;Rafael Jambeiro;2925956;23525;441036,02;27;Sem Previsão
BA;Riacho de Santana;2926400;36246;678170,45;33;Sem Previsão
BA;Rio do Pires;2926905;12109;473521,57;16;Sem Previsão
BA;Santa Rita de Cássia;2928406;28988;674932,84;17;Implantada
BA;São Desidério;2928901;33168;674932,84;38;Implantada
BA;Uruçuca;2932705;21778;606434,96;27;Implantada
BA;Vitória da Conquista;2933307;346069;761718,49;19;Implantada
CE;Aiuaba;2300408;17098;608224,01;17;Sem Previsão
CE;Amontada;2300754;42508;479642,87;18;Sem Previsão
CE;Araripe;2301307;21345;436666;16;Implantada
CE;Barreira;2301950;20835;553945;20;Implantada
CE;Brejo Santo;2302503;48451;398916,87;14;Implantada
CE;Caririaçu;2303204;26876;855645,37;38;Sem Previsão
CE;Ibaretama;2305266;13203;395211,05;19;Sem Previsão
CE;Irauçuba;2306108;23704;602490,73;24;Sem Previsão
CE;Itatira;2306603;20484;360412,81;15;Sem Previsão
CE;Jaguaruana;2307007;33607;662559;24;Implantada
CE;Jardim;2307106;27074;525693,75;15;Sem Previsão
CE;Jucás;2307403;24540;811165,19;23;Sem Previsão
CE;Maracanaú;2307650;223188;902430;31;Implantada
CE;Mauriti;2308104;46335;800468,71;28;Sem Previsão
CE;Missão Velha;2308401;35326;982422,53;37;Sem Previsão
CE;Ocara;2309458;25261;932719,89;33;Sem Previsão
CE;Orós;2309508;21342;776131,97;33;Implantada
CE;Quixeramobim;2311405;77931;596283;20;Implantada
CE;Redenção;2311603;27358;541709,65;17;Implantada
CE;Santa Quitéria;2312205;43359;778971,49;25;Sem Previsão
CE;Santana do Acaraú;2312007;31814;880816,43;27;Implantada
CE;São Benedito;2312304;46414;856321,05;25;Sem Previsão
CE;São Gonçalo do Amarante;2312403;47791;450384;9;Implantada
CE;Tururu;2313559;15768;572200,39;20;Sem Previsão
CE;Varjota;2313955;18188;596607,62;20;Implantada
